95%up,95%down,90%up,90%down,80%up,80%down,70%up,70%down,60%up,60%down,50%up,50%down,40%up,40%down,30%up,30%down,20%up,20%down,10%up,10%down,true
193.4967483741871,121.36068034017008,188.8944472236118,126.36318159079539,181.99099549774886,131.6658329164582,176.68834417208603,135.26763381690844,172.38619309654825,138.06903451725861,168.48424212106053,140.67033516758377,164.9824912456228,143.07153576788394,161.6808404202101,145.4727363681841,158.5792896448224,147.87393696848423,155.57778889444722,150.27513756878437,164.331
197.79889944972484,136.46823411705853,195.79789894947473,142.2711355677839,192.296148074037,148.9744872436218,189.29464732366182,153.47673836918457,186.49324662331165,157.1785892946473,183.8919459729865,160.280140070035,181.49074537268632,162.98149074537267,179.18959479739868,165.58279139569783,176.88844422211105,167.983991995998,174.68734367183592,170.28514257128563,183.935
199.19959979989994,150.6753376688344,198.39919959979989,156.67833916958477,196.9984992496248,163.4817408704352,195.4977488744372,168.0840420210105,194.0970485242621,171.58579289644823,192.59629814907453,174.4872436218109,191.19559779889943,177.08854427213606,189.69484742371185,179.2896448224112,188.09404702351173,181.3906953476738,186.59329664832416,183.29164582291145,188.699
198.6993496748374,138.76938469234616,197.49874937468732,145.07253626813406,195.09754877438718,152.27613806903452,192.89644822411205,157.1785892946473,190.5952976488244,161.08054027013506,188.39419709854926,164.38219109554777,186.19309654827413,167.38369184592295,184.0920460230115,170.08504252126062,181.89094547273635,172.68634317158578,179.5897948974487,175.08754377188592,187.23
199.19959979989994,146.77338669334665,198.39919959979989,153.6768384192096,196.9984992496248,161.6808404202101,195.4977488744372,166.98349174587293,194.0970485242621,170.98549274637318,192.69634817408703,174.18709354677338,191.19559779889943,176.88844422211105,189.69484742371185,179.18959479739868,188.19409704852424,181.3906953476738,186.59329664832416,183.29164582291145,187.214
199.09954977488744,148.57428714357178,198.19909954977487,154.47723861930965,196.49824912456228,161.28064032016007,194.79739869934966,165.78289144572284,193.09654827413706,169.38469234617307,191.49574787393695,172.28614307153575,189.89494747373686,174.88744372186093,188.19409704852424,177.18859429714857,186.49324662331165,179.2896448224112,184.79239619809903,181.2906453226613,188.378
198.99949974987493,146.97348674337167,198.09904952476236,152.87643821910956,196.39819909954977,159.67983991995996,194.59729864932464,164.18209104552275,192.89644822411205,167.78389194597298,191.19559779889943,170.78539269634817,189.49474737368683,173.48674337168583,187.6938469234617,175.88794397198598,185.8929464732366,178.1890945472736,184.0920460230115,180.29014507253626,188.85
199.09954977488744,148.47423711855927,198.19909954977487,152.97648824412204,196.49824912456228,158.4792396198099,194.79739869934966,162.38119059529762,192.99649824912456,165.58279139569783,191.19559779889943,168.48424212106053,189.29464732366182,171.0855427713857,187.2936468234117,173.68684342171085,185.19259629814906,176.1880940470235,183.09154577288643,178.58929464732364,188.976
196.9984992496248,145.07253626813406,194.49724862431214,149.07453726863432,190.19509754877438,153.6768384192096,186.69334667333666,156.77838919459728,183.69184592296148,159.37968984492244,180.9904952476238,161.5807903951976,178.58929464732364,163.5817908954477,176.48824412206102,165.38269134567284,174.4872436218109,167.28364182091045,172.58629314657327,168.98449224612304,184.417
199.29964982491245,153.9769884942471,198.5992996498249,161.6808404202101,197.2986493246623,168.68434217108552,195.89794897448724,172.68634317158578,194.59729864932464,175.68784392196096,193.29664832416208,178.08904452226113,191.99599799899948,180.09004502251125,190.69534767383692,181.99099549774886,189.39469734867433,183.59179589794897,187.99399699849923,185.19259629814906,188.87
