95%up,95%down,90%up,90%down,80%up,80%down,70%up,70%down,60%up,60%down,50%up,50%down,40%up,40%down,30%up,30%down,20%up,20%down,10%up,10%down,true
198.09904952476236,136.76838419209605,196.39819909954977,142.2711355677839,193.4967483741871,148.9744872436218,190.7953976988494,153.9769884942471,188.39419709854926,158.07903951975987,186.19309654827413,161.6808404202101,183.991995997999,164.8824412206103,181.79089544772384,167.78389194597298,179.68984492246122,170.48524262131065,177.4887443721861,172.9864932466233,181.893
199.39969984992496,150.6753376688344,198.79939969984991,158.07903951975987,197.59879939969983,166.18309154577287,196.39819909954977,171.1855927963982,195.19759879939969,174.88744372186093,193.9969984992496,177.7888944472236,192.79639819909954,180.19009504752376,191.49574787393695,182.29114557278638,190.19509754877438,184.192096048024,188.79439719859928,185.8929464732366,182.916
194.79739869934966,124.76238119059529,190.9954977488744,130.76538269134568,185.29264632316156,137.8689344672336,180.9904952476238,142.5712856428214,177.4887443721861,146.37318659329665,174.3871935967984,149.57478739369685,171.68584292146073,152.37618809404702,169.08454227113555,154.97748874437218,166.6833416708354,157.47873936968483,164.38219109554777,159.87993996998497,155.923
194.29714857428712,113.15657828914456,189.99499749874937,120.36018009004502,183.59179589794897,128.3641820910455,178.68934467233615,133.56678339169585,174.4872436218109,137.6688344172086,170.78539269634817,141.1705852926463,167.38369184592295,144.3721860930465,164.28214107053526,147.2736368184092,161.28064032016007,150.17508754377187,158.3791895947974,152.87643821910956,155.919
198.09904952476236,132.46623311655827,196.49824912456228,138.86943471735867,193.5967983991996,146.17308654327164,190.9954977488744,151.27563781890944,188.69434717358678,155.57778889444722,186.39319659829914,159.37968984492244,184.192096048024,162.98149074537267,181.99099549774886,166.38319159579788,179.68984492246122,169.48474237118558,177.38869434717358,172.28614307153575,169.927
199.19959979989994,150.6753376688344,198.4992496248124,156.27813906953475,197.0985492746373,162.78139069534765,195.5977988994497,167.18359179589794,194.1970985492746,170.78539269634817,192.79639819909954,173.78689344672335,191.29564782391193,176.3881940970485,189.79489744872436,178.78939469734865,188.19409704852424,180.9904952476238,186.49324662331165,182.99149574787393,193.115
199.09954977488744,158.4792396198099,198.29914957478738,162.98149074537267,196.59829914957479,167.8839419709855,194.99749874937467,171.0855427713857,193.39669834917459,173.48674337168583,191.89594797398698,175.58779389694845,190.2951475737869,177.4887443721861,188.79439719859928,179.18959479739868,187.1935967983992,180.8904452226113,185.59279639819908,182.5912956478239,193.011
199.09954977488744,151.17558779389694,198.19909954977487,156.9784892446223,196.59829914957479,163.3816908454227,194.99749874937467,167.68384192096048,193.39669834917459,170.88544272136068,191.79589794897447,173.68684342171085,190.19509754877438,176.088044022011,188.59429714857427,178.1890945472736,186.99349674837418,180.19009504752376,185.39269634817407,181.99099549774886,192.664
196.29814907453726,138.26913456728363,193.4967483741871,142.97148574287144,189.0945472736368,148.47423711855927,185.59279639819908,152.27613806903452,182.4912456228114,155.1775887943972,179.78989494747373,157.77888944472235,177.18859429714857,160.08004002001,174.88744372186093,162.28114057028515,172.58629314657327,164.38219109554777,170.48524262131065,166.38319159579788,167.026
136.66833416708354,45.42271135567783,127.56378189094546,50.32516258129064,115.95797898949473,56.128064032016006,107.75387693846923,60.13006503251626,101.35067533766883,63.431715857928964,96.24812406203101,66.33316658329164,91.94597298649325,69.03451725862931,88.24412206103051,71.63581790895448,84.9424712356178,74.13706853426713,82.04102051025512,76.73836918459229,85.936
154.67733866933466,85.84292146073037,147.87393696848423,90.94547273636817,139.86993496748374,96.74837418709355,134.86743371685841,100.65032516258128,131.06553276638317,103.65182591295647,128.06403201600799,106.25312656328164,125.46273136568283,108.65432716358178,123.06153076538268,110.75537768884442,120.86043021510754,112.85642821410704,118.75937968984492,114.85742871435717,118.542
196.59829914957479,123.96198099049523,193.7968984492246,129.5647823911956,189.1945972986493,136.46823411705853,185.39269634817407,141.37068534267132,181.99099549774886,145.4727363681841,178.78939469734865,149.17458729364682,175.88794397198598,152.47623811905953,172.9864932466233,155.67783891945973,170.18509254627313,158.77938969484742,167.28364182091045,161.6808404202101,166.978
121.86093046523261,44.52226113056528,116.45822911455727,51.025512756378184,109.95497748874436,58.42921460730365,105.45272636318158,63.431715857928964,101.75087543771885,67.43371685842921,98.44922461230615,70.83541770885442,95.44772386193095,73.93696848424212,92.64632316158078,76.8384192096048,90.04502251125562,79.63981990995497,87.34367183591796,82.24112056028014,84.164
122.96148074037018,55.52776388194097,117.15857928964482,59.72986493246623,110.05502751375687,64.63231615807904,104.85242621310654,67.93396698349174,100.65032516258128,70.63531765882941,96.94847423711855,72.93646823411706,93.64682341170585,75.13756878439219,90.74537268634316,77.23861930965482,88.0440220110055,79.33966983491746,85.64282141070535,81.34067033516757,86.322
